# match in file | version ini-version end
version 1.5.x 2005-10-30 14:10:00|1.5.0.Beta-1.5.0.Beta
9869 2008-01-05 04:00:13Z|1.5.0.Stable-1.5.0.Stable
9990 2008-02-05 21:54:06Z|1.5.1.Stable-1.5.1.Stable
10122 2008-03-10 11:58:27Z|1.5.2.Stable-1.5.2.Stable
10186 2008-04-02 13:10:12Z|1.5.3.Stable-1.5.3.Stable
10500 2008-07-04 06:57:07Z|1.5.4.Stable-1.5.4.Stable
10571 2008-07-21 01:27:35Z|1.5.5.Stable-1.5.7.Stable
11213 2008-10-25 12:43:11Z|1.5.8.Stable-1.5.8.Stable
11391 2009-01-04 13:35:50Z|1.5.9.Stable-1.5.9.Stable
11667 2009-03-08 20:32:38Z|1.5.10.Stable-1.5.10.Stable
11799 2009-05-06 02:15:50Z|1.5.11.Stable-1.5.11.Stable
12308 2009-06-23 04:05:28Z|1.5.12.Stable-1.5.14.Stable
13243 2009-10-20 04:01:04Z|1.5.15.Stable-1.5.15.Stable
16380 2010-04-23 09:19:48Z|1.5.16.Stable-1.5.20.Stable
17165 2010-05-17 15:59:19Z|1.6.0.Beta1-1.6.0.Beta1
17387 2010-05-30 16:28:20Z|1.6.0.Beta2-1.6.0.Beta2
17675 2010-06-14 10:20:52Z|1.6.0.Beta3-1.6.0.Beta3
17898 2010-06-27 13:03:01Z|1.6.0.Beta4-1.6.0.Beta4
18090 2010-07-12 10:49:58Z|1.6.0.Beta5-1.6.0.Beta5
18198 2010-07-21 00:58:13Z|1.6.0.Beta6-1.6.0.Beta6
18378 2010-08-09 17:29:44Z|1.6.0.Beta7-1.6.0.Beta7
18572 2010-08-22 09:57:58Z|1.6.0.Beta8-1.6.0.Beta8
20196 2011-01-09 02:40:25Z|1.6.0.Stable-1.6.0.Stable
20899 2011-03-07 20:56:09Z|1.6.1.Stable-1.6.1.Stable
20990 2011-03-18 16:42:30Z|1.6.2.Stable-1.6.6.Stable
21721 2011-07-01 08:48:47Z|1.7.0.Stable-1.7.2.Stable
22370 2011-11-09 16:18:06Z|1.7.3.Stable-1.7.5.Stable
