# Type | Modules affected | vulnerability title | version ini | version end | other version | vulnerability description | url reference (url1 uel2 ... url3)
Core||Multiple XSS/CSRF Vulnerability|1.5.9|1.5.9||A series of XSS and CSRF faults exist in the administrator application. Affected administrator components include com_admin, com_media, com_search. Both com_admin and com_search contain XSS vulnerabilities, and com_media contains 2 CSRF vulnerabilities.|
Core|joomla ja_purity com_users frontend|Multiple Cross Site Scripting and HTML Injection Vulnerabilities|1.5.0|1.5.10|Joomlart JS_Purity Template 1.2|Joomla! is prone to multiple cross-site scripting and HTML-injection vulnerabilities because the application fails to sufficiently sanitize user-supplied input. These issues affect the 'com_user' component, the 'JA_Purity' template, and the administrative panel in the 'Site client' subproject of the application. An attacker can exploit these issues to steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/35189/
Component||'com_user' Component Token Input Validation Vulnerability|1.5.0|1.5.5||The 'com_user' component for Joomla! is prone to an input-validation vulnerability because it fails to sufficiently sanitize user-supplied data.|http://www.securityfocus.com/bid/30667/
Component|com_countries|'com_countries' Component 'locat' Parameter SQL Injection Vulnerability|x.x.x|1.5.15||The 'com_countries' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/37561/
Component|com_rsgallery2|'com_rsgallery2' Component 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla com_rsgallery2 2.0|The 'com_rsgallery2' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/38009/
Component|com_abbrev|'com_abbrev' Joomla! Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|Joomla com_abbrev|The 'com_abbrev' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input. An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/37560/
Component|com_weblinks|'com_weblinks' Component 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla com_weblinks|The 'com_weblinks' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42455/
Component|com_controller|JGrid Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|JGrid version 1.0|The JGrid component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input. An attacker can exploit this vulnerability to obtain potentially sensitive information or to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/42486/
Component|com_controller|JGrid Component Unspecified SQL Injection Vulnerability|x.x.x|x.x.x|JGrid version 1.0|The JGrid component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42552/
Component|com_jpodium|JPodium Component 'f_id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|JPodium|The JPodium component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42405/
Component|com_slideshow|'com_slideshow' Component 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|webmaster-tips.net com_slideshow 1.0|The 'com_slideshow' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42427/
