# match in file | version ini-version end
47 2005-09-15 02:55:27Z|1.0.0-1.0.2
423 2005-10-09 18:23:50Z|1.0.3-1.0.3
1005 2005-11-13 17:33:59Z|1.0.4-1.0.5
1570 2005-12-29 05:53:33Z|1.0.6-1.0.7
2368 2006-02-14 17:40:02Z|1.0.8-1.0.9
4085 2006-06-21 16:03:54Z|1.0.10-1.0.10
4756 2006-08-25 16:07:11Z|1.0.11-1.0.11
5973 2006-12-11 01:26:33Z|1.0.12-1.0.12
5975 2006-12-11 01:26:33Z|1.0.13-1.0.14.RC1
9317 2007-11-07 03:02:08Z|1.5.0.RC4-1.5.0.Stable
10492 2008-07-02 06:38:28Z|1.5.0.Beta-1.5.14.Stable
13415 2009-11-03 15:53:25Z|1.5.15.Stable-1.5.15.Stable
14401 2010-01-26 14:10:00Z|1.5.16.Stable-1.5.20.Stable
14276 2010-01-18 14:20:28Z|1.6.0.Beta1-1.6.0.Beta8
20196 2011-01-09 02:40:25Z|1.6.0.Stable-1.6.1.Stable
21101 2011-04-07 15:47:33Z|1.6.2.Stable-1.7.5.Stable
