# match in file | version ini-version end
47 2005-09-15 02:55:27Z|1.0.0-1.0.0
217 2005-09-21 15:15:58Z|1.0.1-1.0.2
506 2005-10-13 05:49:24Z|1.0.3-1.0.7
2622 2006-02-26 04:16:09Z|1.0.8-1.0.8
3754 2006-05-31 12:08:37Z|1.0.9-1.0.10
4802 2006-08-28 16:18:33Z|1.0.11-1.0.12
7424 2007-05-17 15:56:10Z|1.0.13-1.0.15
9991 2008-02-05 22:13:22Z|1.5.0.Stable-1.5.8.Stable
11409 2009-01-10 02:27:08Z|1.5.9.Stable-1.5.9.Stable
11687 2009-03-11 17:49:23Z|1.5.10.Stable-1.5.15.Stable
14401 2010-01-26 14:10:00Z|1.5.16.Stable-1.5.20.Stable
